Info 0    [18:33:16.240] Starting TS Server
Info 1    [18:33:16.242] Version: 4.5.4
Info 2    [18:33:16.242] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-1/phase-1-github-search-app/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/48555715d41a2b53821bc32205ed664a/tscancellation*
Info 3    [18:33:16.242] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [18:33:16.242] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [18:33:16.260] Format host information updated
Info 6    [18:33:16.262] Search path: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-github-search-app/js
Info 7    [18:33:16.264] For info: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-github-search-app/js/index.js :: No config files found.
Info 8    [18:33:16.270] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [18:33:16.963] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 692.1282210000209ms
Info 10   [18:33:16.963] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [18:33:16.963] 	Files (19)

Info 12   [18:33:16.963] -----------------------------------------------
Info 13   [18:35:44.099] Format host information updated
Info 14   [18:35:44.315] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [18:35:44.328] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 13.17980699997861ms
Info 16   [18:35:44.328] Different program with same set of files
Info 17   [18:35:44.425] Format host information updated
Info 18   [18:35:44.567] Format host information updated
Info 19   [18:35:44.714] Format host information updated
Info 20   [18:35:44.719] Format host information updated
Info 21   [18:35:44.811] Format host information updated
Info 22   [18:35:44.889] Format host information updated
Info 23   [18:35:45.031] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [18:35:45.036] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 4.548234999994747ms
Info 25   [18:35:45.036] Different program with same set of files
Info 26   [18:35:45.220] Format host information updated
Info 27   [18:35:45.514] Format host information updated
Info 28   [18:35:45.517] Format host information updated
Info 29   [18:35:45.519] Format host information updated
Info 30   [18:35:45.522] Format host information updated
Info 31   [18:35:45.554] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [18:35:45.559] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 5.619724000047427ms
Info 33   [18:35:45.560] Different program with same set of files
Info 34   [18:35:45.562] getCompletionData: Get current token: 0.04031899996334687
Info 35   [18:35:45.562] getCompletionData: Is inside comment: 0.10562200000276789
Info 36   [18:35:45.562] getCompletionData: Get previous token: 0.1542020000051707
Info 37   [18:35:45.563] getCompletionsAtPosition: isCompletionListBlocker: 0.32477800000924617
Info 38   [18:35:45.563] Returning an empty list because completion was requested in an invalid position.
Info 39   [18:35:45.564] getCompletionData: Get current token: 0.035567999992053956
Info 40   [18:35:45.564] getCompletionData: Is inside comment: 0.090574000030756
Info 41   [18:35:45.564] getCompletionData: Get previous token: 0.09074299997882918
Info 42   [18:35:45.564] getCompletionsAtPosition: isCompletionListBlocker: 0.00257199996849522
Info 43   [18:35:45.564] Returning an empty list because completion was requested in an invalid position.
Info 44   [18:35:45.565] getCompletionData: Get current token: 0.03606500005116686
Info 45   [18:35:45.565] getCompletionData: Is inside comment: 0.055240999965462834
Info 46   [18:35:45.565] getCompletionData: Get previous token: 0.06545799999730662
Info 47   [18:35:45.565] getCompletionsAtPosition: isCompletionListBlocker: 0.0020890000159852207
Info 48   [18:35:45.565] Returning an empty list because completion was requested in an invalid position.
Info 49   [18:35:45.565] getCompletionData: Get current token: 0.022708999982569367
Info 50   [18:35:45.565] getCompletionData: Is inside comment: 0.03773400001227856
Info 51   [18:35:45.565] getCompletionData: Get previous token: 0.06321199994999915
Info 52   [18:35:45.565] getCompletionsAtPosition: isCompletionListBlocker: 0.0019580000080168247
Info 53   [18:35:45.566] Returning an empty list because completion was requested in an invalid position.
Info 54   [18:35:45.624] Format host information updated
Info 55   [18:35:45.722] Format host information updated
Info 56   [18:35:45.806] Format host information updated
Info 57   [18:35:45.845] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [18:35:45.850] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 5.1104189999750815ms
Info 59   [18:35:45.850] Different program with same set of files
Info 60   [18:35:45.850] getCompletionData: Get current token: 0.027916999999433756
Info 61   [18:35:45.850] getCompletionData: Is inside comment: 0.06549800001084805
Info 62   [18:35:45.851] getCompletionData: Get previous token: 0.11788800003705546
Info 63   [18:35:45.851] getCompletionsAtPosition: isCompletionListBlocker: 0.0035070000449195504
Info 64   [18:35:45.851] Returning an empty list because completion was requested in an invalid position.
Info 65   [18:35:45.853] getCompletionData: Get current token: 0.026378999988082796
Info 66   [18:35:45.853] getCompletionData: Is inside comment: 0.04557300003943965
Info 67   [18:35:45.853] getCompletionData: Get previous token: 0.06474899995373562
Info 68   [18:35:45.853] getCompletionsAtPosition: isCompletionListBlocker: 0.002750999992713332
Info 69   [18:35:45.853] Returning an empty list because completion was requested in an invalid position.
Info 70   [18:35:45.856] getCompletionData: Get current token: 0.020975999999791384
Info 71   [18:35:45.856] getCompletionData: Is inside comment: 0.04168600001139566
Info 72   [18:35:45.856] getCompletionData: Get previous token: 0.07438800000818446
Info 73   [18:35:45.856] getCompletionsAtPosition: isCompletionListBlocker: 0.0022560000070370734
Info 74   [18:35:45.856] Returning an empty list because completion was requested in an invalid position.
Info 75   [18:35:45.858] getCompletionData: Get current token: 0.02099399996222928
Info 76   [18:35:45.859] getCompletionData: Is inside comment: 0.35661200003232807
Info 77   [18:35:45.859] getCompletionData: Get previous token: 0.06941799999913201
Info 78   [18:35:45.859] getCompletionsAtPosition: isCompletionListBlocker: 0.002195000008214265
Info 79   [18:35:45.859] Returning an empty list because completion was requested in an invalid position.
Info 80   [18:35:46.963] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [18:35:46.971] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 7.7115259999991395ms
Info 82   [18:35:46.971] Different program with same set of files
Info 83   [18:35:46.972] getCompletionData: Get current token: 0.06566799996653572
Info 84   [18:35:46.972] getCompletionData: Is inside comment: 0.07324599998537451
Info 85   [18:35:46.972] getCompletionData: Get previous token: 0.06267199997091666
Info 86   [18:35:46.973] getCompletionsAtPosition: isCompletionListBlocker: 0.006089999980758876
Info 87   [18:35:46.973] Returning an empty list because completion was requested in an invalid position.
Info 88   [18:35:46.973] getCompletionData: Get current token: 0.057560999994166195
Info 89   [18:35:46.973] getCompletionData: Is inside comment: 0.04919399996288121
Info 90   [18:35:46.974] getCompletionData: Get previous token: 0.06113400001777336
Info 91   [18:35:46.974] getCompletionsAtPosition: isCompletionListBlocker: 0.005726000003051013
Info 92   [18:35:46.974] Returning an empty list because completion was requested in an invalid position.
Info 93   [18:35:46.974] getCompletionData: Get current token: 0.0170829999842681
Info 94   [18:35:46.974] getCompletionData: Is inside comment: 0.044399999955203384
Info 95   [18:35:46.974] getCompletionData: Get previous token: 0.05975199997192249
